team_id,department,team,objective,objective_type,level,timeframe,owner,kr_1,kr_2,kr_3,kr_4,kr_5,kr_6,kr_7,dependencies,tracking_location,check_in_rhythm,strategy_context
T01,Sales,SMB Sales,"Improve SMB new business efficiency and predictable revenue conversion in Q2 2026",Committed,Team,"Q2 2026 (Apr 1 - Jun 30 2026)","Diego Ruiz - SMB Sales Director","Increase qualified SMB opportunities from 140 to 185 by Jun 30 2026","Increase SMB win rate from 24 percent to 29 percent by Jun 30 2026","Reduce median SMB sales cycle from 42 days to 34 days by Jun 30 2026",,,,,"Marketing lead quality and pricing approvals","Salesforce dashboard","Weekly","Supports profitable growth target with higher conversion and faster cycle"
T02,Sales,Enterprise Sales,"Grow enterprise business",Committed,Team,"Q2 2026 (Apr 1 - Jun 30 2026)","Enterprise team","Run more enterprise demos","Send follow ups faster","Close bigger deals",,,,,"Needs product and legal support","TBD","Biweekly","Company wants more enterprise revenue"
T03,Marketing,Demand Generation,"Accelerate top of funnel growth across paid and organic programs in Q2 2026",Committed,Team,"Q2 2026 (Apr 1 - Jun 30 2026)","Nina Patel - Demand Gen Lead","Publish 18 campaign assets in quarter","Launch 10 webinar events in quarter","Increase marketing qualified leads from 2200 to 3200 by Jun 30 2026","Improve MQL to SQL conversion from 17 percent to 22 percent by Jun 30 2026","Run weekly landing page tests","Increase paid media spend efficiency from 2.9 to 3.5 pipeline per dollar by Jun 30 2026",,"Creative capacity and sales follow up speed","HubSpot and Salesforce","Weekly","Pipeline pressure in board plan requires stronger top of funnel"
T04,Marketing,Product Marketing,"Strengthen product narrative and launch effectiveness for strategic AI and platform capabilities in Q2 2026",Committed,Team,"Q2 2026 (Apr 1 - Jun 30 2026)","Morgan Lee - Product Marketing Director","Increase launch message comprehension score from 62 to 78 in post launch customer survey by Jun 30 2026","Increase AI feature influenced opportunities from 48 to 85 by Jun 30 2026","Increase competitive win rate in top 3 scenarios from 31 percent to 38 percent by Jun 30 2026",,,,,"Product readiness and enablement bandwidth","Salesforce campaign attribution","Weekly","Improves differentiation against competitors and supports AI growth strategy"
T05,Product,Core Product,"Make the core product better for customers",Committed,Team,"Q2 2026 (Apr 1 - Jun 30 2026)","Core Product team","Ship key roadmap items","Improve user satisfaction","Reduce bugs",,,,,"Engineering support and design availability","TBD","Weekly","Supports retention goals"
T06,Product,AI Product,"Make AI product category leading and highly adopted in Q2 2026",Aspirational,Team,"Q2 2026 (Apr 1 - Jun 30 2026)","Asha Gupta - AI Product Lead","Launch AI coaching assistant to all paid plans by Jun 15 2026","Increase weekly AI active users from 9200 to 18000 by Jun 30 2026","Ship 12 AI enhancements in quarter","Reduce AI low quality response rate from 14 percent to 8 percent by Jun 30 2026","Publish AI benchmark report","Enable 100 percent of sales team on AI demo by May 31 2026","Win 2 external innovation awards","Model reliability and legal review","Amplitude and product analytics","Weekly","AI adoption and differentiation are explicit strategic bets"
T07,Engineering,Platform Engineering,"Increase platform reliability and release confidence to support scale in Q2 2026",Committed,Team,"Q2 2026 (Apr 1 - Jun 30 2026)","Ivan Petrov - Platform Engineering Manager","Improve service uptime from 99.80 percent to 99.93 percent by Jun 30 2026","Reduce Sev 1 and Sev 2 incidents from 14 to 8 per quarter by Jun 30 2026","Increase deployment success rate from 93 percent to 98 percent by Jun 30 2026",,,,,"SRE staffing and cross team incident ownership","Datadog reliability scorecard","Weekly","Reliability is required for enterprise expansion and churn reduction"
T08,Engineering,Data Engineering,"Improve data platform performance",Committed,Team,"Q2 2026 (Apr 1 - Jun 30 2026)","Data team","Fix slow pipelines","Improve dashboard freshness","Support analytics requests faster",,,,,"Upstream schema changes","TBD","Biweekly","Better data supports better decisions"
T09,Customer Success,Onboarding CS,"Improve onboarding outcomes in growth accounts to reduce early churn in Q2 2026",Committed,Team,"Q2 2026 (Apr 1 - Jun 30 2026)","Priya Sharma - Onboarding CS Lead","Increase 30 day activation rate from 12 percent to 30 percent by Jun 30 2026","Increase 14 day onboarding milestone completion from 41 percent to 70 percent by Jun 30 2026","Reduce first 90 day churn in growth accounts from 7.8 percent to 5.5 percent by Jun 30 2026",,,,,"Product usage instrumentation and CSM capacity","Gainsight onboarding dashboard","Weekly","Directly addresses known churn driver from company context"
T10,Customer Success,Retention CS,"Improve retention and expansion outcomes for growth segment in Q2 2026",Committed,Team,"Q2 2026 (Apr 1 - Jun 30 2026)","Lena Park - Retention CS Manager","Run monthly customer health review for top 200 accounts","Increase at risk account recovery rate from 29 percent to 45 percent by Jun 30 2026","Reduce annualized growth churn from 18 percent to 13.5 percent by Jun 30 2026","Increase net revenue retention from 102 percent to 107 percent by Jun 30 2026","Deliver 25 executive business reviews in quarter","Publish weekly customer value stories",,"CSM capacity and product adoption support","Gainsight and Salesforce","Weekly","Retention performance is central to profitability path"
T11,Operations,Revenue Operations,"Improve go to market operations",Committed,Team,"Q2 2026 (Apr 1 - Jun 30 2026)","RevOps team","Clean CRM data","Improve forecasting","Help teams with reports",,,,,"Sales process adherence","Spreadsheet","Weekly","Operations should improve execution"
T12,Operations,Customer Support,"Make customer support world class while controlling cost in Q2 2026",Committed,Team,"Q2 2026 (Apr 1 - Jun 30 2026)","Omar Khan - Support Operations Lead","Reduce first response time from 4.2 hours to 1.8 hours by Jun 30 2026","Reduce median resolution time from 22 hours to 11 hours by Jun 30 2026","Increase first contact resolution from 58 percent to 74 percent by Jun 30 2026","Launch AI support assistant","Publish 20 new help center articles","Reduce support cost per ticket from 8.9 to 7.2 by Jun 30 2026",,"Engineering support for tooling and knowledge base owners","Zendesk performance dashboard","Weekly","Support quality and efficiency protect NPS and margin goals"
